,0,0,0,0
x_0,0.7237219274147197,0.7237218244847378,0.9999976450631235,0.9999976450630723
area,840.5020169387394,840.5018504004698,0.0011460375520980825,0.001146037552097999
bedrooms,2.5623467493884093,2.562346432069449,6.99920264745094e-07,6.999202647450514e-07
bathrooms,1.4367627754779366,1.4367626306939687,2.937369666047219e-07,2.937369666047064e-07
stories,2.134406575398388,2.1344063565338405,4.095987286958147e-07,4.095987286957903e-07
parking,0.4647094392634963,0.46470939028756125,1.473380847059976e-07,1.473380847059853e-07
mainroad,,0.641125834837055,,1.9813993146010844e-07
guestroom,,0.24753042366266356,,3.257051440272955e-08
basement,,0.39747328589623454,,7.432998703390133e-08
hotwaterheating,,0.07854685248889318,,1.0327734168068242e-08
airconditioning,,0.5126914163367772,,5.7910038329125755e-08
prefarea,,0.272029468131485,,4.2860385766284405e-08
